crawl001,Backend Engineer,StartupXYZ,Remote,$100k - $130k,Looking for backend engineer with Node.js and Python experience to build scalable APIs.,LinkedIn,2024-01-28,https://linkedin.com/jobs/view/123,Technology
crawl002,UX Designer,DesignFirst Inc.,"Seattle, WA",$85k - $110k,Create beautiful and intuitive user interfaces for our enterprise software products.,Indeed,2024-01-29,https://indeed.com/jobs/456,Design
crawl003,DevOps Engineer,CloudScale,Remote,$120k - $150k,"Implement and maintain CI/CD pipelines, manage cloud infrastructure on AWS.",Glassdoor,2024-01-27,https://glassdoor.com/jobs/789,Technology
crawl004,Sales Manager,GrowthCorp,"Miami, FL",$80k + commission,"Lead sales team, develop strategies to expand market presence in Latin America.",Monster,2024-01-30,https://monster.com/jobs/012,Sales
crawl005,HR Specialist,PeopleFirst,"Denver, CO",$70k - $90k,"Manage recruitment processes, employee relations, and HR operations.",ZipRecruiter,2024-01-26,https://ziprecruiter.com/jobs/345,HR
crawl001,Backend Engineer,StartupXYZ,Remote,$100k - $130k,Looking for backend engineer with Node.js and Python experience to build scalable APIs.,LinkedIn,2024-01-28,https://linkedin.com/jobs/view/123,Technology
crawl002,UX Designer,DesignFirst Inc.,"Seattle, WA",$85k - $110k,Create beautiful and intuitive user interfaces for our enterprise software products.,Indeed,2024-01-29,https://indeed.com/jobs/456,Design
crawl003,DevOps Engineer,CloudScale,Remote,$120k - $150k,"Implement and maintain CI/CD pipelines, manage cloud infrastructure on AWS.",Glassdoor,2024-01-27,https://glassdoor.com/jobs/789,Technology
crawl004,Sales Manager,GrowthCorp,"Miami, FL",$80k + commission,"Lead sales team, develop strategies to expand market presence in Latin America.",Monster,2024-01-30,https://monster.com/jobs/012,Sales
crawl005,HR Specialist,PeopleFirst,"Denver, CO",$70k - $90k,"Manage recruitment processes, employee relations, and HR operations.",ZipRecruiter,2024-01-26,https://ziprecruiter.com/jobs/345,HR
